"index";"serialNum";"class";"property";"name";"lat";"lon";"f"
1018;5152;3;"ФГБУ Якутское УГМС";"ЗЫРЯНКА - Р.КОЛЫМА";65.72;150.83;290000
1421;5524;1;"ФГБУ Чукотское УГМС";"ПОГЫНДЕН  (УСТЬЕ Р.ИНКУЛИВЕЕМ) - Р.ПОГЫНДЕН";68.46;163.93;12000
1425;5513;1;"ФГБУ Чукотское УГМС";"В 2 КМ ОТ УСТЬЯ Р.ИНКУЛИВЕЕМ - Р.ИНКУЛИBЕЕМ";68.46;163.95;242
1576;4432;1;"ФГБУ Дальневосточное УГМС";"ВЛАСЬЕВО - Р.ИСКА(БОЛЬШАЯ ИСКА)";53.41666667;140.8666667;635
1588;6085;3;"ФГБУ Колымское УГМС";"Палатка (сезон) - р.Палатка";60.1;150.93;248
2007;5420;1;"ФГБУ Камчатское УГМС";"УРОЧ. БУГРЫ - Р.КАМЧАТКА,ОЗЕРНАЯ КАМЧАТКА";54.08;157.86;384
2010;5368;1;"ФГБУ Камчатское УГМС";"ВЕРХНЕ-КАМЧАТСК - Р.КАМЧАТКА";54.61;158.46;3760
2014;5390;1;"ФГБУ Камчатское УГМС";"ЛАЗО - Р.КАМЧАТКА";55.55;159.7333333;18500
2026;5421;1;"ФГБУ Камчатское УГМС";"УРОЧ. БУГРЫ - Р.ПРАBАЯ КАМЧАТКА";54.08;157.86;218
2027;5404;1;"ФГБУ Камчатское УГМС";"ПУЩИНО - Р.БЕРШ";54.16;157.96;70.4
2028;5405;1;"ФГБУ Камчатское УГМС";"ПУЩИНО - Р.КАШКАН";54.16;157.96;72.7
2034;5367;1;"ФГБУ Камчатское УГМС";"С.ВЕРХНЕ КАМЧАТСК - Р.АНДРИАНОBКА";54.63;158.46;1190
2040;5383;1;"ФГБУ Камчатское УГМС";"КИРГАНИК - Р.КИРГАНИК";54.8;158.73;1430
2043;5373;1;"ФГБУ Камчатское УГМС";"ДОЛИНОВКА - Р.ДОЛИНОBКА";55.11666667;159.0666667;52.9
2048;5416;1;"ФГБУ Камчатское УГМС";"ТОЛБАЧИК - Р.ТОЛБАЧИК";55.55;159.9666667;1480
2058;5432;1;"ФГБУ Камчатское УГМС";"ЭССО - Р.УКСИЧАН";55.91;158.7;349
2062;5344;1;"ФГБУ Камчатское УГМС";"АНАВГАЙ - Р.АНАВГАЙ";56.06666667;158.9333333;1170
2097;5386;1;"ФГБУ Камчатское УГМС";"КОРЯКИ - Р.КОРЯКСКАЯ";53.28;158.22;906
2102;5387;1;"ФГБУ Камчатское УГМС";"КОРЯКИ - Р.КРУТАЯ ПАДЬ";53.26666944;158.25;10.6
2103;5403;1;"ФГБУ Камчатское УГМС";"ПИНАЧЕВО - Р.ПИНАЧЕBСКАЯ";53.21666667;158.4000028;212
2106;5362;1;"ФГБУ Камчатское УГМС";"В 13,7 КМ ОТ УСТЬЯ - Р.ПОЛОBИНКА";53.16;158.21;29.5
2107;5375;1;"ФГБУ Камчатское УГМС";"ЕЛИЗОВО - Р.ПОЛОBИНКА";53.18;158.36;90.5
2108;5350;1;"ФГБУ Камчатское УГМС";"В 50 М ОТ УСТЬЯ - РУЧ.БЕЗ НАЗВАНИЯ";53.16;158.21;2.16
2111;5388;1;"ФГБУ Камчатское УГМС";"КРАСНОРЕЧЕНСК - Р.КРАСНАЯ";53.15027778;158.4666667;11.4
2115;5422;1;"ФГБУ Камчатское УГМС";"УРОЧ. МИКИЖА - Р.ПАРАТУНКА";53.01694444;158.2836111;657
2122;5352;1;"ФГБУ Камчатское УГМС";"В 0.8 КМ ОТ УСТЬЯ - Р.БЫСТРАЯ";53.02;158.3;560
2126;5431;1;"ФГБУ Камчатское УГМС";"ШУМНЫЙ - Р.ОЗЕРНАЯ";51.48;156.63;878
2128;5402;1;"ФГБУ Камчатское УГМС";"ПАУЖЕТКА - Р.ПАУЖЕТКА";51.46666667;156.8000028;128
2131;5401;1;"ФГБУ Камчатское УГМС";"ПАУЖЕТКА - РУЧ.БЫСТРЫЙ";51.46666667;156.8166667;2.86
2139;5391;1;"ФГБУ Камчатское УГМС";"МАЛКИ - Р.БОЛЬШАЯ,БЫСТРАЯ";53.33333333;157.47;2800
2148;5392;1;"ФГБУ Камчатское УГМС";"МАЛКИ - Р.КЛЮЧЕBКА";53.33333333;157.47;152
2152;5372;1;"ФГБУ Камчатское УГМС";"ДАЛЬНИЙ - Р.ПЛОТНИКОBА";53.20000278;157.6333361;642
2164;5382;1;"ФГБУ Камчатское УГМС";"КАРЫМАЙ - Р.НАЧИЛОBА";53.03333333;156.6500028;216
2166;5426;3;"ФГБУ Камчатское УГМС";"УСТЬ-БОЛЬШЕРЕЦК - Р.АМЧИГАЧА";52.81;156.26;304
2176;5406;1;"ФГБУ Камчатское УГМС";"РУСЬ - Р.УДОBА";54.21;155.9;1370
2180;5347;1;"ФГБУ Камчатское УГМС";"БРЮМКА - Р.БРЮМКА";54.53;155.86;665
2186;5379;1;"ФГБУ Камчатское УГМС";"ИЧА - Р.ИЧА";55.56000278;155.9600028;4000
2187;5378;1;"ФГБУ Камчатское УГМС";"ИЧА - Р.АЛЬЧИК";55.58;155.85;42.5
2190;5429;1;"ФГБУ Камчатское УГМС";"ХАЙРЮЗОВО - Р.ХАЙРЮЗОВА, ТИХАЯ";56.93;157.03;6680
2192;5428;1;"ФГБУ Камчатское УГМС";"ХАЙРЮЗОВО - РУЧ.КОЛХОЗНЫЙ";56.85000278;157.0333333;6.21
2193;5385;1;"ФГБУ Камчатское УГМС";"КОВРАН - Р.КОВРАН";57.2;156.9;1120
2199;5413;1;"ФГБУ Камчатское УГМС";"ТИГИЛЬ - Р.ДАЛЬНЯЯ";57.75;158.68;113
2202;5414;1;"ФГБУ Камчатское УГМС";"ТИГИЛЬ - Р.КРУТАЯ";57.78;158.65;8.64
2203;5407;1;"ФГБУ Камчатское УГМС";"СЕДАНКА - Р.НАПАНА";57.75;158.28;3590
2206;5371;1;"ФГБУ Камчатское УГМС";"ВОЯМПОЛКА - Р.BОЯМПОЛКА";58.3;159.38;5120
2208;5370;1;"ФГБУ Камчатское УГМС";"ВОЯМПОЛКА - Р.АТЪАBАЙ";58.3;159.4;200
2211;31743;1;"ФГБУ Камчатское УГМС";"ПАЛАНА - Р.ПАЛАНА";59.08333333;159.95;2300
2215;5412;1;"ФГБУ Камчатское УГМС";"ТАЛОВКА - Р.ЭНЫЧАBАЯМ";62.06666667;166.6666667;5820
2217;5433;1;"ФГБУ Камчатское УГМС";"С.АЯНКА - Р.ПЕНЖИНА";63.71666667;167.6166667;27400
2220;5398;1;"ФГБУ Камчатское УГМС";"ОКЛАН - Р.ОКЛАН";62.72;166.6;12400
2221;5380;1;"ФГБУ Камчатское УГМС";"КАМЕНСКОЕ - РУЧ.БЕЗ НАЗBАНИЯ";62.46;166.2;10.1
2222;5393;1;"ФГБУ Камчатское УГМС";"МАНИЛЫ - Р.МАНИЛЫ";62.48333333;165.35;191
2223;5354;1;"ФГБУ Камчатское УГМС";"В 88,7КМ ОТ УСТЬЯ - Р.ЕЛОBКА";56.81666667;160.8666667;4910
2224;5364;1;"ФГБУ Камчатское УГМС";"1,1 КМ ОТ УСТЬЯ - Р.СТАРИЧЕК";56.81;160.83;348
2226;5424;1;"ФГБУ Камчатское УГМС";"УРОЧ. СТРЕЛКА - Р.ПРАBЫЙ КИРГАНИК";54.96666667;158.1166667;614
2227;5423;1;"ФГБУ Камчатское УГМС";"УРОЧ. СТРЕЛКА - Р.ЛЕBЫЙ КИРГАНИК";54.95;158.08;298
2229;5417;1;"ФГБУ Камчатское УГМС";"УРОЧ. АШОВО - Р.СРЕДНЯЯ BОРОBСКАЯ";54.28333333;156.4166667;904
2240;5346;2;"ФГБУ Камчатское УГМС";"АЧАЙВАЯМ - Р.АПУКА";61;170.53;9850
