serialNum,property,name,index,lat,lon
3692,ФГБУ Среднесибирское УГМС,АБАН,29485,56.7,96.0333
4187,ФГБУ Обь-Иртышское УГМС,АБАТСКОЕ,28581,56.28737778,70.43459722
2717,ФГБУ Приволжское УГМС,АБДУЛИНО,28815,53.65,53.65
1853,ФГБУ Приволжское УГМС,АВАНГАРД ЗЕРН.С/З,28908,52.62,51.28
5043,ФГБУ Якутское УГМС,АГАЯКАН,24684,63.33333333,141.7333333
5555,ФГБУ Приморское УГМС,АГЗУ,31825,47.36,138.24
4612,ФГБУ Забайкальское УГМС,АГИНСКОЕ,30859,51.1,114.52
3694,ФГБУ Среднесибирское УГМС,АГИНСКОЕ - Р.АНЖА,29676,55.25,94.8833
8793,ФГБУ Крымское УГМС,АЙ-ПЕТРИ,33998,44.48000278,34.08333333
1855,ФГБУ Приволжское УГМС,АЙДЫРЛЯ,35039,51.95,59.88
3393,ФГБУ Западно-Сибирское УГМС,Ак-Кем,36443,49.91,86.54
1856,ФГБУ Приволжское УГМС,АКБУЛАК,35127,51.02,55.63
2168,ФГБУ Башкирское УГМС,АКСАКОВО,28719,54.02,54.15
1857,ФГБУ УГМС Республики Татарстан,АКТАШ,28606,55.05083333,52.10916667
4538,ФГБУ Забайкальское УГМС,АКША,30957,50.27,113.27
2169,ФГБУ Башкирское УГМС,АКЪЯР,35037,51.87,58.21
2349,ФГБУ Северо-Кавказское УГМС,АЛАГИР,37227,43.07,44.25
3119,ФГБУ Уральское УГМС,АЛАПАЕВСК,28248,57.87,61.7
2667,ФГБУ Верхне-Волжское УГМС,АЛАТЫРЬ,27679,54.82,46.58
3394,ФГБУ Западно-Сибирское УГМС,Алейская,29937,52.31,82.46
1331,ФГБУ Центральное УГМС,АЛЕКСАНДРОВ,27428,56.4,38.75
1858,ФГБУ Приволжское УГМС,АЛЕКСАНДРОВ ГАЙ,34391,50.13191667,48.53611111
4537,ФГБУ Забайкальское УГМС,АЛЕКСАНДРОВСКИЙ З-Д,30971,50.92,117.93
3695,ФГБУ Среднесибирское УГМС,АЛЕКСАНДРОВСКИЙ ШЛЮЗ - Р.КАС,29059,59.42,89.3
2280,ФГБУ Северо-Кавказское УГМС,АЛЕКСАНДРОВСКОЕ,37051,44.72,43
8248,ФГБУ Центральное УГМС,АЛЕКСИН,27710,54.5,37.08
2839,ФГБУ Обь-Иртышское УГМС,АЛТАЙ - Р.КОНДА,23939,60.32888889,68.96027778
4804,ФГБУ Иркутское УГМС,АЛЫГДЖЕР,29894,53.63,98.22
4539,ФГБУ Забайкальское УГМС,АМАЗАР,30682,53.87,120.87
6035,ФГБУ Якутское УГМС,АМГА,24962,60.9,131.98
8484,ФГБУ Среднесибирское УГМС,АНАСТАСИНО,29674,55.12,93.38
8795,ФГБУ Крымское УГМС,АНГАРСКИЙ ПЕРЕВАЛ,33958,44.75000278,34.36000278
5270,ФГБУ Якутское УГМС,АНДРЮШКИНО,25017,69.17,154.5
144,ФГБУ Центрально-Черноземное УГМС,АННА,34238,51.48,40.42
1,ФГБУ Северное УГМС,АНТИПАЮТА,23058,69.10388889,76.85805556
5556,ФГБУ Приморское УГМС,АНУЧИНО - Р.АРСЕНЬЕBКА,31981,43.58,133.04
46,ФГБУ Мурманское УГМС,АПАТИТЫ,22213,67.55,33.35
3041,ФГБУ Уральское УГМС,АРГАЯШ,28548,55.55,60.9
2281,ФГБУ Северо-Кавказское УГМС,АРЗГИР,34964,45.4,44.2
5459,ФГБУ Колымское УГМС,Арка,24988,60.08,142.33
2802,ФГБУ Северо-Кавказское УГМС,АРМАВИР,37031,44.98333333,41.11666667
5460,ФГБУ Колымское УГМС,Армань,25914,59.68,150.16
1859,ФГБУ УГМС Республики Татарстан,АРСК,27593,56.09138889,49.86416667
2282,ФГБУ Северо-Кавказское УГМС,АРТЕЗИАН,37082,44.95000278,46.71666667
3696,ФГБУ Среднесибирское УГМС,АРТЕМОВСК,29772,54.52,93.38
3115,ФГБУ Уральское УГМС,АРТЕМОВСКИЙ,28346,57.37,61.92
408,ФГБУ Северное УГМС,АРХАНГЕЛЬСК,22550,64.5,40.72777778
2170,ФГБУ Башкирское УГМС,АРХАНГЕЛЬСКОЕ,28726,54.4,56.78
4378,ФГБУ Дальневосточное УГМС,АРХАРА,31594,49.42,130.08
6236,ФГБУ Северо-Кавказское УГМС,АРХЫЗ,37117,43.56666667,41.26666667
3697,ФГБУ Среднесибирское УГМС,АСКИЗ,29961,53.1333,90.4833
2171,ФГБУ Башкирское УГМС,АСКИНО,28522,56.11,56.57
2627,ФГБУ Северо-Кавказское УГМС,АСТРАХАНЬ,34880,46.28333333,47.98333333
1913,ФГБУ Приволжское УГМС,АТКАРСК,34069,51.87,45.03
3042,ФГБУ Уральское УГМС,АТЫМЬЯ,23829,61.03,62.22
2354,ФГБУ Северо-Кавказское УГМС,АХТЫ - р. Самур,37663,41.46666667,47.75
8905,ФГБУ Северо-Кавказское УГМС,АЧХОЙ-МАРТАН,37237,43.2,45.28333333
409,ФГБУ Северное УГМС,БАБАЕВО,27008,59.4,35.93
2355,ФГБУ Северо-Кавказское УГМС,БАБАЮРТ,37169,43.6,46.78333333
4787,ФГБУ Забайкальское УГМС,БАБУШКИН,30822,51.7,105.85
3478,ФГБУ Западно-Сибирское УГМС,Баган,29708,54.06,77.42
3473,ФГБУ Западно-Сибирское УГМС,Баево,29827,53.17,80.47
5480,ФГБУ Чукотское УГМС,БАИМКА,25335,66.53,164.28
4276,ФГБУ Среднесибирское УГМС,БАЙКИТ - Р.ПОДКАМЕННАЯ ТУНГУСКА,23891,61.6667,96.3667
2172,ФГБУ Башкирское УГМС,БАКАЛЫ,28615,55.18,53.8
3969,ФГБУ Западно-Сибирское УГМС,Бакчар,29328,57,82.04
2797,ФГБУ Приволжское УГМС,БАЛАКОВО,34086,52.02,47.82
3698,ФГБУ Среднесибирское УГМС,БАЛАХТА - Р.ЧУЛЫМ,29662,55.3833,91.6667
1860,ФГБУ Приволжское УГМС,БАЛАШОВ,34152,51.55,43.15
6040,ФГБУ Забайкальское УГМС,БАЛЕЙ,30866,51.55,116.7
5461,ФГБУ Колымское УГМС,Балыгычан,25611,63.91,154.1
5557,ФГБУ Приморское УГМС,БАРАБАШ,31971,43.12,131.28
5007,ФГБУ Иркутское УГМС,БАРГУЗИНСКИЙ ЗАПОВЕДНИК,30536,54.33333333,109.5333333
3395,ФГБУ Западно-Сибирское УГМС,Барзас,29548,55.42,86.16
4606,ФГБУ Забайкальское УГМС,БАТАКАН,30778,52.07,118.83
5044,ФГБУ Якутское УГМС,БАТАМАЙ,24656,63.52,129.48
3396,ФГБУ Западно-Сибирское УГМС,Батурино,29247,57.47,85.09
1603,ФГБУ Верхне-Волжское УГМС,БАТЫРЕВО,27685,55.07,47.6
3699,ФГБУ Среднесибирское УГМС,БАХТА - Р.ЕНИСЕЙ,23776,62.47,89
4805,ФГБУ Иркутское УГМС,БАЯНДАЙ,30627,53.1,105.53
1585,ФГБУ Центральное УГМС,БЕЖЕЦК,27217,57.76,36.7
2283,ФГБУ Северо-Кавказское УГМС,БЕЛАЯ ГЛИНА,34836,46.08333333,40.88333333
2804,ФГБУ Северо-Кавказское УГМС,БЕЛАЯ КАЛИТВА,34539,48.25,40.82
1604,ФГБУ Верхне-Волжское УГМС,БЕЛАЯ ХОЛУНИЦА,28105,58.83,50.85
1861,ФГБУ Приволжское УГМС,БЕЛИНСКИЙ,27955,52.97,43.4
3397,ФГБУ Западно-Сибирское УГМС,Белово,29745,54.27,86.22
4321,ФГБУ Дальневосточное УГМС,БЕЛОГОРСК - Р.ТОМЬ,31513,50.92,128.47
1226,ФГБУ Северное УГМС,БЕЛОЗЕРСК,22939,60.02027778,37.75916667
2762,ФГБУ Башкирское УГМС,БЕЛОРЕЦК,28831,53.96,58.35
2284,ФГБУ Северо-Кавказское УГМС,БЕЛОРЕЧЕНСК,37013,44.75,39.9
746,ФГБУ Центральное УГМС,БЕЛЫЙ,26585,55.83,32.93
34526,ФГБУ Западно-Сибирское УГМС,Белый Яр,29242,58.4,85.03333333
1862,ФГБУ Приволжское УГМС,БЕЛЯЕВКА,35125,51.42,56.42
6036,ФГБУ Якутское УГМС,БЕРДИГЕСТЯХ,24758,62.27,127.07
6197,ФГБУ Дальневосточное УГМС,БЕРЕГОВОЙ,31257,54.38,127.4
4193,ФГБУ Уральское УГМС,БЕРЕЗНИКИ,28029,59.38,56.93
5045,ФГБУ Якутское УГМС,БЕСТЯХСКАЯ ЗВЕРОФЕРМА,24449,65.3,124.12
3700,ФГБУ Среднесибирское УГМС,БЕЯ - Р.БЕЯ,29962,53.05,90.9167
3399,ФГБУ Западно-Сибирское УГМС,Бийск-Зональная,29939,52.41,84.56
4322,ФГБУ Дальневосточное УГМС,БИКИН,31832,46.8,134.27
5462,ФГБУ Чукотское УГМС,БИЛИБИНО,25147,68.05,166.45
4323,ФГБУ Дальневосточное УГМС,БИРОБИДЖАН,31713,48.73,132.95
2174,ФГБУ Башкирское УГМС,БИРСК,28621,55.4,55.55
410,ФГБУ Северное УГМС,БИРЯКОВО,27044,59.58,41.48
3043,ФГБУ Уральское УГМС,БИСЕР,28138,58.52,58.85
3044,ФГБУ Уральское УГМС,БИСЕРТЬ,28432,56.88,59.07
4324,ФГБУ Дальневосточное УГМС,"БИЧЕВАЯ - Р.ХОР, ПРОТОКА БЕЗ НАЗВАНИЯ",31792,47.77,135.63
4542,ФГБУ Забайкальское УГМС,БИЧУРА,30934,50.6,107.58
3400,ФГБУ Западно-Сибирское УГМС,Благовещенка,29916,52.46,79.51
2285,ФГБУ Северо-Кавказское УГМС,БЛАГОДАРНЫЙ,34958,45.1,43.45
6113,ФГБУ Приморское УГМС,БОГОПОЛЬ - Р.ЗЕРКАЛЬНАЯ,31958,44.15,135.27
145,ФГБУ Центрально-Черноземное УГМС,БОГОРОДИЦКОЕ-ФЕНИНО ИМ. И.А. ПУЛЬМАНА,34110,51.16,37.35
4325,ФГБУ Дальневосточное УГМС,"БОГОРОДСКОЕ - МОРЕ ОХОТСКОЕ, Р.АМУР",31439,52.38,140.47
3701,ФГБУ Среднесибирское УГМС,БОГОТОЛ,29553,56.2333,89.5833
146,ФГБУ Центрально-Черноземное УГМС,БОГУЧАР,34336,49.93,40.57
2286,ФГБУ Северо-Кавказское УГМС,БОКОВСКАЯ,34445,49.22,41.83
3401,ФГБУ Западно-Сибирское УГМС,Болотное,29539,55.4,84.24
187,ФГБУ Центрально-Черноземное УГМС,БОЛХОВ,27809,53.43,36.03
1863,ФГБУ Приволжское УГМС,БОЛЬШАЯ ГЛУШИЦА,35001,52.38,50.47
4543,ФГБУ Забайкальское УГМС,БОЛЬШАЯ ЛЕПРИНДА,30374,56.65,117.62
3702,ФГБУ Среднесибирское УГМС,БОЛЬШАЯ МУРТА - Р.НИЖНЯЯ ПОДЪЕМНАЯ,29471,56.9,93.1333
3045,ФГБУ Уральское УГМС,БОЛЬШАЯ СОСНОВА,28313,57.68,54.6
