index,h,q
10002,NA,10
10006,NA,10
1001,NA,10
10010,NA,10
10011,NA,4
10015,NA,10
10021,NA,10
10024,NA,10
10031,NA,10
10042,NA,10
10044,NA,10
10048,NA,10
10058,NA,10
10059,NA,10
10060,NA,10
10062,NA,10
10066,NA,10
10071,NA,4
10073,NA,10
10075,NA,10
10078,NA,10
1010,NA,10
10100,NA,10
10103,NA,10
10108,NA,10
10110,NA,10
10111,NA,10
10112,NA,10
10117,NA,10
10120,NA,10
10122,NA,10
10126,NA,10
10127,NA,10
10132,NA,6
10133,NA,10
10134,NA,6
10137,NA,10
10138,NA,6
10139,NA,10
10144,NA,10
10148,NA,10
10150,NA,10
10151,NA,10
10153,NA,10
10168,NA,10
10172,NA,10
10174,NA,10
10175,NA,6
10176,NA,10
10177,NA,10
10184,NA,10
10187,NA,6
10188,NA,10
10194,NA,10
10198,NA,10
10202,NA,10
10204,NA,10
10205,NA,10
10208,NA,10
10209,NA,10
10211,NA,10
10215,NA,4
10216,NA,10
10219,NA,10
10220,NA,10
10221,NA,10
10223,NA,10
10225,NA,6
10231,NA,10
10232,NA,10
10233,NA,7
10240,NA,10
10246,NA,10
10251,NA,10
10257,NA,1
10259,NA,1
10264,NA,10
10266,NA,10
10276,NA,10
10277,NA,10
10279,NA,10
10287,NA,10
10292,NA,10
10298,NA,10
10301,NA,10
10305,NA,10
10306,NA,10
10308,NA,10
10310,NA,10
10315,NA,10
10317,NA,10
10322,NA,10
10323,NA,10
10328,NA,10
10329,NA,10
10331,NA,10
10332,NA,8
10338,NA,9
10341,NA,10
10342,NA,10
10343,NA,10
10349,NA,10
10357,NA,10
10369,NA,10
10378,NA,10
10379,NA,10
10380,NA,10
10384,NA,10
10385,NA,10
10387,NA,10
10392,NA,10
10394,NA,10
10396,NA,10
10400,NA,10
10402,NA,10
10404,NA,10
10407,NA,10
10411,NA,10
10413,NA,10
10414,NA,10
10416,NA,10
10423,NA,10
10424,NA,10
10426,NA,10
10428,NA,10
10430,NA,10
10432,NA,10
10441,NA,10
10444,NA,10
10453,NA,10
10455,NA,10
10460,NA,10
10461,NA,10
10464,NA,10
10466,NA,10
10468,NA,10
10475,NA,10
10476,NA,10
10478,NA,10
10488,NA,9
10489,NA,10
10503,NA,1
10507,NA,3
10509,NA,1
10511,NA,10
10519,NA,10
10524,NA,10
10532,NA,10
10539,NA,10
10548,NA,10
10549,NA,10
10554,NA,10
10556,NA,10
10557,NA,10
10560,NA,6
10566,NA,10
10567,NA,10
10570,NA,10
10571,NA,10
10573,NA,10
10579,NA,10
10582,NA,6
10583,NA,10
10584,NA,10
10585,NA,6
10586,NA,10
10587,NA,10
10589,NA,10
10591,NA,10
10594,NA,10
10595,NA,10
10608,NA,3
10620,NA,10
10623,NA,10
10625,NA,10
10632,NA,10
10641,NA,10
10651,NA,10
10653,NA,10
10660,NA,9
10678,NA,10
10688,NA,10
10693,NA,10
10694,NA,9
10701,NA,10
10705,NA,10
10713,NA,10
1081,NA,8
1101,NA,6
1102,NA,10
1103,1,NA
1104,NA,6
11048,NA,10
1105,NA,6
11056,NA,10
11061,NA,10
1107,NA,6
1127,NA,9
11306,NA,10
11308,NA,10
11309,NA,10
11312,NA,10
11313,NA,10
11315,NA,10
11327,NA,10
